"ENSMUSG00000075014"
"ENSMUSG00000076617"
"ENSMUSG00000015656"
"ENSMUSG00000052305"
"ENSMUSG00000069917"
"ENSMUSG00000075015"
"ENSMUSG00000028649"
"ENSMUSG00000076609"
"ENSMUSG00000023944"
"ENSMUSG00000058006"
"ENSMUSG00000026395"
"ENSMUSG00000095547"
"ENSMUSG00000036594"
"ENSMUSG00000095186"
"ENSMUSG00000026234"
"ENSMUSG00000069919"
"ENSMUSG00000021270"
"ENSMUSG00000026616"
"ENSMUSG00000026238"
"ENSMUSG00000057113"
"ENSMUSG00000005610"
"ENSMUSG00000021998"
"ENSMUSG00000024673"
"ENSMUSG00000064354"
"ENSMUSG00000031015"
"ENSMUSG00000044533"
"ENSMUSG00000096519"
"ENSMUSG00000020326"
"ENSMUSG00000049775"
"ENSMUSG00000037922"
"ENSMUSG00000073421"
"ENSMUSG00000045868"
"ENSMUSG00000030577"
"ENSMUSG00000040592"
"ENSMUSG00000028211"
"ENSMUSG00000019726"
"ENSMUSG00000032035"
"ENSMUSG00000071866"
"ENSMUSG00000073940"
"ENSMUSG00000026581"
"ENSMUSG00000076569"
"ENSMUSG00000004207"
"ENSMUSG00000029763"
"ENSMUSG00000095891"
"ENSMUSG00000005540"
"ENSMUSG00000030707"
"ENSMUSG00000031328"
"ENSMUSG00000073902"
"ENSMUSG00000063286"
"ENSMUSG00000061983"
"ENSMUSG00000041538"
"ENSMUSG00000036371"
"ENSMUSG00000018168"
"ENSMUSG00000003379"
"ENSMUSG00000026594"
"ENSMUSG00000076613"
"ENSMUSG00000022587"
"ENSMUSG00000067038"
"ENSMUSG00000030724"
"ENSMUSG00000054766"
"ENSMUSG00000036273"
"ENSMUSG00000025393"
"ENSMUSG00000064356"
"ENSMUSG00000025647"
"ENSMUSG00000050912"
"ENSMUSG00000067149"
"ENSMUSG00000026864"
"ENSMUSG00000078606"
"ENSMUSG00000036006"
"ENSMUSG00000005583"
"ENSMUSG00000027878"
"ENSMUSG00000026399"
"ENSMUSG00000030067"
"ENSMUSG00000022914"
