Gene_Id_189,ABEN_Rep1,ABEN_Rep2,ABEN_Rep3,EN_Rep1,EN_Rep2,EN_Rep3
Glyma01g04880,6.17162,5.72689,5.82128,5.99265,5.7657,7.09124
Glyma01g04890,14.1089,12.3752,14.0025,9.1761,6.69763,10.6177
Glyma01g04895,0,0,0,0,0,0
Glyma01g04900,4.8937,2.86287,2.88185,2.253,1.28432,1.99965
Glyma01g04920,0.000191573,2.1481,0,0,0,0
Glyma01g04930,0,0.895273,0.000179648,0.000249519,0,0.000181581
Glyma01g04940,0,0.10509,0.157147,0,0,0
Glyma01g04950,0.232897,0.441923,0.224352,0.128533,0.203954,0.0724188
Glyma01g04970,0,0,0,0,0,0
Glyma01g04980,25.5474,25.5511,25.5384,21.0717,21.2117,19.5459
Glyma01g04991,2.25584,2.14813,1.77989,2.25058,1.52922,2.12926
Glyma01g05000,0,5.17E-05,0.268816,1.18734,0,0.510542
Glyma01g05020,0.78376,1.64483,0.200999,0.493166,0.861262,0.313757
Glyma01g05035,0,0,0,0,0,0
Glyma01g05050,0.909029,0.589548,1.67306,2.13114,1.25867,2.82677
Glyma01g05060,0,0,0,0,0,0
Glyma01g05070,0.00341864,0,0.00164727,0,0,0.000381154
Glyma01g05080,0,0.433935,0,0,0,0
Glyma01g05090,0.000720172,0.0305958,0.00025861,0.000147667,0.00027026,0.000270225
Glyma01g05100,0,0,0,0.0037524,0,0.000146847
Glyma01g05110,0,0,0,0,0,0
Glyma01g05120,0,0.610289,0.114075,0,0.557105,0.47379
Glyma01g05135,0.270499,0.084986,0.290781,0.0586725,0.0340487,0.0618164
Glyma01g05150,0.240376,0.0890652,0.0998882,0.123805,0.104971,0.117718
Glyma01g05160,23.0605,31.5564,29.0426,9.05365,24.0396,12.0764
Glyma01g05170,0,0,0.00157243,0,0,0
Glyma01g05180,0.0531125,0.136916,0.102372,0,0,0.0231462
Glyma01g05190,0.333788,0.353685,0,0.000750795,0,0
Glyma01g05220,0,0,0.150515,0,0,0.0266207
Glyma01g05230,0.0476917,0,0.533494,0,0.56305,0.0014919
Glyma01g05240,0.151454,1.17128,1.17875,0.271355,0.482469,0.913897
Glyma01g05310,0.0737522,0.285182,0.283337,2.71562,2.08062,1.2902
Glyma01g05321,0.407251,0.524914,0.343409,0.319224,0.0798618,0.203755
Glyma01g05330,0,0,0,0,0,0
Glyma01g05340,10.3517,11.0322,6.80032,7.72164,10.0992,7.80724
Glyma01g05350,0.436686,0.507404,0.708671,0.349185,0.352192,0.706027
Glyma01g05360,1.82E-05,1.40E-05,0.189477,0,0,0
Glyma01g05370,1.80012,1.88394,2.20575,5.83759,4.03176,5.00133
Glyma01g05390,0.394766,0.66535,0.269562,0.865563,0.445462,0.418688
Glyma01g05410,2.67346,2.35701,3.49708,0.629483,0.743988,1.28007
Glyma01g05430,5.00071,4.61943,5.32951,4.77556,3.74536,4.84424
Glyma01g05435,0.248971,0.160452,0.119967,0,0,0.147063
Glyma01g05440,0,0,0,0,0,0
Glyma01g05450,0.0736021,0,0.212791,0,0,0
Glyma01g05470,0,0.000798261,0.000808913,0,1.85759,0.514452
Glyma01g05490,0.504505,0.410564,0.000308107,0,0,0
Glyma01g05500,1.12945,1.67413,3.78235,34.2998,24.3633,42.014
Glyma01g05521,0,0,0,0,0,0
Glyma01g05540,4.26176,4.42441,3.6993,3.56091,5.03009,5.74238
Glyma01g05550,5.15409,8.63719,3.84159,7.63384,8.81596,4.10311
Glyma01g05565,2.25E-06,1.15E-06,1.12E-06,2.06E-06,0,1.27E-06
Glyma01g05580,1.74503,3.58758,0,3.0076,0.830135,0.329576
Glyma01g05680,0,0,0,0.0853115,0.0454485,0
Glyma01g05710,0.0247005,0.0159185,0.0357057,0,0,0.011562
Glyma01g05740,118.335,119.287,101.274,200.243,180.132,179.012
Glyma01g05750,0,5.14061,3.53113,0,0,0
Glyma01g05760,1.14693,0.663805,0.260175,0.22588,0.783575,0.439662
Glyma01g05765,0.519518,0.833711,0.305692,0,0,1.4056
Glyma01g05770,0,0,0.13151,0.556445,0,0
Glyma01g05775,0,0,0,0,0,0
Glyma01g05780,0,0.524841,0.632865,0,0.416924,1.42331
Glyma01g05800,3.85384,0,0,2.42518,1.58919,3.00147
Glyma01g05805,0.367868,0.211042,0.210389,0.653092,0.400609,0.85627
Glyma01g05810,0.467035,0.482864,0.475085,0.418384,0.610569,0.259629
Glyma01g05820,1.74564,3.56397,1.63947,1.20943,0.719026,1.17084
Glyma01g05830,0.572339,0.276637,0.310254,0.640898,0.617295,0.572704
Glyma01g05840,0,0,0,0,0,0
Glyma01g05850,0.293698,0.573991,0.703242,4.41799,2.95758,2.42835
Glyma01g05860,4.87912,5.84788,2.88185,2.96958,4.61569,3.06922
Glyma01g05871,0.640305,0.618977,0.308531,0.430204,0.439473,0.60067
Glyma01g05880,1.6995,5.83931,1.5938,1.67316,2.23755,1.30219
Glyma01g05890,3.34417,2.42277,3.97361,1.83791,1.38875,2.19569
Glyma01g05920,0.000101698,6.32E-05,0,4.21E-05,0.000676589,0.000233261
Glyma01g05933,0.0280383,0.0164358,0.0122887,0.00938716,0.0082195,0.00565359
Glyma01g05946,0.0466752,0,0,0.000322597,0.0416702,0.0527974
Glyma01g05960,0.386465,0.165628,0.224904,0.0313168,0.0548426,0.163911
Glyma01g05970,0,0,0.0604444,0,0,0
Glyma01g05980,0.0415944,0,0.0200422,0,0.0652532,0
Glyma01g05991,1.88546,1.3132,1.14545,1.34829,1.94382,1.22416
Glyma01g06001,0.0206812,0.0283882,0.0129571,0.087549,0.059038,0.080859
Glyma01g06010,0.587363,0.851698,0.849062,0.526178,0.69109,1.17548
Glyma01g06030,10.7941,8.20651,10.5355,23.5101,16.7394,16.3411
